material_entity_id	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	material_entity_remarks	material_gathering_id	evidence_for_occurrence_id	derived_from_material_entity_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id
ECOSUR-SC:ECOAB:1142	Organism			ECOSUR-SC				ECOAB		1142	ECOSUR-SC:ECOAB:1142								d4667cd7-9e8e-438a-b531-85c3910c6850	03954d4b-b60b-4a81-bdb1-81875be6616b					
ECOSUR-SC:ECOAB:1143	Organism			ECOSUR-SC				ECOAB		1143	ECOSUR-SC:ECOAB:1143								6c51e522-d4a7-4e9e-87c4-2b42b268103c	9a3a9b0b-2846-4f1c-a5a6-e0e96e1e780d					
ECOSUR-SC:ECOAB:1144	Organism			ECOSUR-SC				ECOAB		1144	ECOSUR-SC:ECOAB:1144								c33974df-5d76-4039-9b47-204d3a48bc7e	64a20dca-1235-48a7-9bca-6f7ea5af398d					
ECOSUR-SC:ECOAB:1145	Organism			ECOSUR-SC				ECOAB		1145	ECOSUR-SC:ECOAB:1145								9073526a-f8dc-4e0d-84c6-b89d8efdbfc7	1207fde5-7c07-49ef-b73b-4f9a8e9363f6					
ECOSUR-SC:ECOAB:1146	Organism			ECOSUR-SC				ECOAB		1146	ECOSUR-SC:ECOAB:1146								3effe944-1a70-4291-a495-41c16cad0b64	0b17beef-5998-45d5-acbb-33e502daa237					
ECOSUR-SC:ECOAB:1147	Organism			ECOSUR-SC				ECOAB		1147	ECOSUR-SC:ECOAB:1147								9a032c7c-78d9-4c67-a1f6-4fdcbf7b7ba2	bc939acf-b15f-4e21-93e8-a0818b7f5233					
ECOSUR-SC:ECOAB:1148	Organism			ECOSUR-SC				ECOAB		1148	ECOSUR-SC:ECOAB:1148								3bfa2d02-6754-4cad-a8cc-2996d6e61a10	9b1c2928-5724-4590-a439-1ec015a1a629					
ECOSUR-SC:ECOAB:1149	Organism			ECOSUR-SC				ECOAB		1149	ECOSUR-SC:ECOAB:1149								cd23ff3b-a6bf-4fe6-88a3-40eb8a1b2ece	9f252151-760c-448d-b9b4-b923aa0358c0					
ECOSUR-SC:ECOAB:1150	Organism			ECOSUR-SC				ECOAB		1150	ECOSUR-SC:ECOAB:1150								29093d4d-ad06-427c-aca9-1a5a6d10c2df	d1a81f86-2d39-4954-b1ca-ca816c5a3aa0					
ECOSUR-SC:ECOAB:1151	Organism			ECOSUR-SC				ECOAB		1151	ECOSUR-SC:ECOAB:1151								34d699ca-e1b5-4c9c-a058-4d555542762e	4db15870-28b5-425f-bc97-bdb1e66edc72					
