occurrence_id	organism_quantity	organism_quantity_type	organism_quantity_type_iri	organism_quantity_type_vocabulary	sex	life_stage	reproductive_condition	caste	behavior	vitality	establishment_means	degree_of_establishment	pathway	occurrence_status	occurrence_remarks	organism_id	organism_scope	organism_scope_iri	organism_scope_vocabulary	organism_name	organism_remarks
25439aa119791593e14fa1833114b0be														Present		d9bcc2278a35c9a3369cc0582c74336c	Multicellular Organism				
32c7b14786aea2da4847222ce75d51ce														Present		da905f2c0534f9fd1ff79891ae884299	Multicellular Organism				
fdc42dc04d5a0ea6c451a3f32617b853														Present		db3a6c1b6af9de95a61529431293e603	Multicellular Organism				
f126e26d99ca9b1ab473afef20bacf3f														Present		db3d78fdf12a6ade5e293ea5a5782c25	Multicellular Organism				
249c6c99c2e2fbb7e3505f9050f2ca0a														Present		db9345c7fecbc94858e014a184b627f9	Multicellular Organism				
eeab091e53dfe38fbcdbb1b639b4c83e														Present		dba08006586809e23363a78be9c68ed6	Multicellular Organism				
634bb7cb71fb26c9140d37e34d7bcd48														Present		dbf9d112ff85dc7d808f18ab3f754908	Multicellular Organism				
40479f1e48c4010f4aafa934b7ed8fff														Present	Población a 3 km antes de llegar a Ixcapuzalco	dc2af03573d7ff00cc793819acab9223	Multicellular Organism				
28813ae53696722360369b9002d1c674														Present		dc342bb2ce8ac8d7310f320c4e2ac919	Multicellular Organism				
0dccd926bfc81bd034d3e737f5a74693														Present		dc4c8170b65f76d2b4e07a541804407d	Multicellular Organism				
